Polymer,Solvent,Temperature (°C),Volume fraction,Interaction Parameter
Polystyrene,n-hexane,40,1,0.97
Polystyrene,n-hexane,162 to 229,1,1.35 to -0.03
Polystyrene,n-hexadecane,183 to 203,1,1.22 to 1.14
Polystyrene,isopropyl ether,40,1,0.78
Polystyrene,isopropyl ether,162 to 229,1,1.42 to 0.41
Polystyrene,methanol,162 to 229,1,2.19 to 0.44
Polystyrene,methylcyclohexane,72,0 to 0.4,0.49 to 0.67
Polystyrene,2-methyl-1-propanol,162 to 229,1,1.71 to 0.81
Polystyrene,naphthalene,183 to 203,1,0.12
Polystyrene,nitrobenzene,162 to 229,1,1.18 to 0.72
Polystyrene,n-octane,40,1,0.95
Polystyrene,n-octane,162 to 229,1,2.19 to 0.80
Polystyrene,1-octanol,162 to 229,1,1.41 to 0.55
Polystyrene,n-pentane,162 to 229,1,1.12 to 0.83
Polystyrene,1-pentanol,162 to 229,1,1.75 to 0.86
Polystyrene,1-propanol,162 to 229,1,1.71 to 0.27
Polystyrene,2-propanol,40,1,2.6
Polystyrene,2-propanol,162 to 229,1,1.74 to -0.15
Polystyrene,propyl acetate,25,0.4 to 0.8,0.66
Polystyrene,propyl acetate,40,1,0.52
Polystyrene,propyl acetate,70,0.4 to 0.8,0.6
Polystyrene,pyridine,162 to 229,1,1.02 to 0.23
Polystyrene,tetrachloroethylene,40,1,0.36
Polystyrene,n-tetradecane,183 to 203,1,1.14 to 1.08
Polystyrene,tetrahydrofuran,162 to 229,1,0.70 to -0.16
Polystyrene,"1,2,3,4-tetrahydronaphthalene",183 to 203,1,0.2
Polystyrene,"3,3,4,4-tetramethylhexane",160 to 180,1,0.90 to 0.76
Polystyrene,toluene,22,0.2 to 0.6,0.4
Polystyrene,toluene,25,0.4 to 0.8,0.42 to 0.31
Polystyrene,toluene,25,0.2 to 0.8,0.37 to 0.16
Polystyrene,toluene,27 to 40,0,0.437 to 0.482
Polystyrene,toluene,40,1,0.19
Polystyrene,toluene,45,0 to 0.3,0.41 to 0.37
Polystyrene,toluene,60,0.8,0.32
Polystyrene,toluene,65,0 to 0.3,0.40 to 0.37
Polystyrene,toluene,68,0,0.452
Polystyrene,toluene,80,0.4 to 0.6,0.40 to 0.35
Polystyrene,toluene,162 to 229,1,0.67 to 0.04
Polystyrene,toluene,23.5,0.66 to 0.83,0.34 to 0.22
Polystyrene,toluene,25,0.03 to 0.34,0.43 to 0.40
Polystyrene,toluene,25,0.07 to 0.20,0.40 to 0.39
Polystyrene,toluene,40,0.06 to 0.18,0.42
Polystyrene,toluene,137.6,1,0.32
Polystyrene,trichloroethylene,40,1,0.19
Polystyrene,trichloroethylene,162 to 229,1,0.69 to 0.12
Polystyrene,"2,2,4-trimethylpentane",162 to 229,1,1.72 to 0.35
Polystyrene,water,162 to 229,1,4.4 to 3.1
Polystyrene,o-xylene,162 to 229,1,0.72 to 0.26
Poly(tetramethylene oxide),acetone,100,1,0.73
Poly(tetramethylene oxide),benzene,100,1,0.04
Poly(tetramethylene oxide),n-butane,100,1,0.76
Poly(tetramethylene oxide),1-butanol,100,1,0.54
Poly(tetramethylene oxide),2-butanone,100,1,0.53
Poly(tetramethylene oxide),butyl acetate,100,1,0.3
Poly(tetramethylene oxide),carbon tetrachloride,100,1,0.1
Poly(tetramethylene oxide),chlorobenzene,100,1,-0.09
Poly(tetramethylene oxide),1-chlorobutane,100,1,0.22
Poly(tetramethylene oxide),chloroform,100,1,-0.38
Poly(tetramethylene oxide),chloromethane,100,1,0.19
Poly(tetramethylene oxide),1-chloropentane,100,1,0.18
Poly(tetramethylene oxide),cycloheptane,100,1,0.41
Poly(tetramethylene oxide),cyclohexane,100,1,1.23
Poly(tetramethylene oxide),cyclohexene,100,1,0.28
Poly(tetramethylene oxide),cyclooctane,100,1,0.4
Poly(tetramethylene oxide),cyclopentane,100,1,0.45
Poly(tetramethylene oxide),n-decane,100,1,0.8
Poly(tetramethylene oxide),"1,1-dichloroethane",100,1,0
Poly(tetramethylene oxide),"1,2-dichloroethane",100,1,0.05
Poly(tetramethylene oxide),dichloromethane,100,1,-0.12
Poly(tetramethylene oxide),"1,4-dioxane",100,1,0.39
Poly(tetramethylene oxide),ethanol,100,1,1.08
Poly(tetramethylene oxide),ethyl acetate,100,1,0.45
Poly(tetramethylene oxide),ethylbenzene,100,1,0.07
Poly(tetramethylene oxide),n-heptane,100,1,0.73
Poly(tetramethylene oxide),n-hexane,100,1,0.74
Poly(tetramethylene oxide),methyl acetate,100,1,0.58
Poly(tetramethylene oxide),n-nonane,100,1,0.78
Poly(tetramethylene oxide),n-octane,100,1,0.75
Poly(tetramethylene oxide),n-pentane,100,1,0.76
Poly(tetramethylene oxide),1-pentanol,100,1,0.37
Poly(tetramethylene oxide),propane,100,1,0.9
Poly(tetramethylene oxide),1-propanol,100,1,0.71
Poly(tetramethylene oxide),propyl acetate,100,1,0.36
Poly(tetramethylene oxide),tetrahydrofuran,100,1,0.13
Poly(tetramethylene oxide),"1,1,1-trichloroethane",100,1,-0.02
Poly(tetramethylene oxide),trichloroethylene,100,1,-0.06
Poly(tetramethylene oxide),toluene,100,1,0.04
Poly(tetramethylene oxide),n-undecane,100,1,0.83
Poly(?-valerolactone),acetone,120,1,0.64
Poly(?-valerolactone),benzene,120,1,0.34
Poly(?-valerolactone),2-butanone,120,1,0.43
Poly(?-valerolactone),carbon tetrachloride,120,1,0.61
Poly(?-valerolactone),chloroform,120,1,-0.02
Poly(?-valerolactone),dichloromethane,120,1,0.86
Poly(?-valerolactone),ethyl acetate,120,1,0.54
Poly(?-valerolactone),n-heptane,120,1,1.6
Poly(?-valerolactone),n-hexane,120,1,1.6
Poly(?-valerolactone),n-pentane,120,1,1.5
Poly(vinyl acetate),acetaldehyde,125 to 140,1,0.35 to 0.32
Poly(vinyl acetate),acetone,25 to 29,0,0.4
Poly(vinyl acetate),acetone,30 to 40,0.8,0.34
Poly(vinyl acetate),acetone,30 to 50,1,0.31 to 0.39
Poly(vinyl acetate),acetone,100 to 140,1,0.32 to 0.21
Poly(vinyl acetate),acetonitrile,125 to 140,1,0.54 to 0.49
Poly(vinyl acetate),allyl chloride,40,1,0.27
Poly(vinyl acetate),benzene,5,0.2,0.46
Poly(vinyl acetate),benzene,20,0,0.42
Poly(vinyl acetate),benzene,30,0.4 to 0.8,0.45 to 0.29
Poly(vinyl acetate),benzene,35 to 62,0,0.51 to 0.42
Poly(vinyl acetate),benzene,30 to 50,1,0.30 to 0.26
Poly(vinyl acetate),benzene,80 to 140,1,0.44 to 0.25
Poly(vinyl acetate),benzene,125 to 145,1,0.37 to 0.32
Poly(vinyl acetate),n-butane,100,1,1.97
Poly(vinyl acetate),1-butanol,100 to 135,1,0.62 to 0.38
Poly(vinyl acetate),2-butanol,135,1,0.31
Poly(vinyl acetate),2-butanone,10 to 45,0,0.43
Poly(vinyl acetate),2-butanone,100 to 140,1,0.34 to 0.20
Poly(vinyl acetate),butyl acetate,100,1,0.51
Poly(vinyl acetate),butylbenzene,125 to 145,1,0.95 to 0.88
Poly(vinyl acetate),butylcyclohexane,125 to 145,1,1.90 to 1.75
Poly(vinyl acetate),carbon tetrachloride,90 to 135,1,0.85 to 0.63
Poly(vinyl acetate),chlorobenzene,100 to 135,1,0.28 to 0.33
Poly(vinyl acetate),1-chlorobutane,100 to 135,1,0.73 to 0.66
Poly(vinyl acetate),chloroform,80 to 135,1,-0.17 to -0.09
Poly(vinyl acetate),chloromethane,100,1,0.25
Poly(vinyl acetate),1-chloropentane,100,1,0.82
Poly(vinyl acetate),1-chloropropane,40,1,0.75
Poly(vinyl acetate),cycloheptane,100,1,1.63
Poly(vinyl acetate),cyclohexane,100 to 140,1,1.65 to 1.16
Poly(vinyl acetate),cyclohexene,100,1,1.18
Poly(vinyl acetate),cyclohexanol,135,1,0.44
Poly(vinyl acetate),cyclooctane,100,1,1.67
Poly(vinyl acetate),cyclopentane,100,1,1.53
Poly(vinyl acetate),cis-decahydronaphthalene,125 to 145,1,1.65 to 1.50
Poly(vinyl acetate),n-decane,100 to 145,1,2.5 to 2.01
Poly(vinyl acetate),1-decanol,135,1,0.81
Poly(vinyl acetate),"1,1-dichloroethane",100,1,0.19
Poly(vinyl acetate),"1,2-dichloroethane",100 to 140,1,-0.04 to 0.00
Poly(vinyl acetate),dichloromethane,100,1,-0.14
Poly(vinyl acetate),dimethylphthalate,25,0,0.4
Poly(vinyl acetate),"1,4-dioxane",25,0,0.407
Poly(vinyl acetate),"1,4-dioxane",100 to 140,1,0.17 to 0.03
Poly(vinyl acetate),n-dodecane,125 to 145,1,2.48 to 2.27
Poly(vinyl acetate),ethanol,50,0,0.47
Poly(vinyl acetate),ethanol,100,1,0.8
Poly(vinyl acetate),ethyl acetate,20,0,0.415
Poly(vinyl acetate),ethyl acetate,100,1,0.36
Poly(vinyl acetate),ethylbenzene,100 to 135,1,0.66 to 0.58
Poly(vinyl acetate),n-heptane,100 to 120,1,2.14 to 1.63
Poly(vinyl acetate),1-heptanol,135,1,0.55
Poly(vinyl acetate),n-hexadecane,135,1,2.99
Poly(vinyl acetate),n-hexane,100 to 120,1,2.06 to 1.71
Poly(vinyl acetate),1-hexanol,135,1,0.49
Poly(vinyl acetate),isopropylamine,40,1,0.66
Poly(vinyl acetate),methanol,125 to 140,1,0.77 to 0.73
Poly(vinyl acetate),methyl acetate,100,1,0.3
Poly(vinyl acetate),2-methyl-2-propanol,135,1,0.3
Poly(vinyl acetate),nitroethane,125 to 140,1,0.14 to 0.19
Poly(vinyl acetate),n-nonane,100 to 145,1,2.38 to 1.88
Poly(vinyl acetate),n-octane,90 to 120,1,2.3 to 1.94
Poly(vinyl acetate),1-octanol,135,1,0.65
Poly(vinyl acetate),1-octene,135,1,1.55
Poly(vinyl acetate),n-pentane,100,1,2.06
Poly(vinyl acetate),1-pentanol,100 to 135,1,0.59 to 0.41
Poly(vinyl acetate),2-pentanone,135,1,0.38
Poly(vinyl acetate),propane,100,1,3.2
Poly(vinyl acetate),1-propanol,30 to 50,1,1.3 to 1.0
Poly(vinyl acetate),1-propanol,100 to 135,1,0.64 to 0.38
Poly(vinyl acetate),2-propanol,125 to 140,1,0.44 to 0.35
Poly(vinyl acetate),propyl acetate,100,1,0.42
Poly(vinyl acetate),propylamine,40,1,0.61
Poly(vinyl acetate),n-tetradecane,135,1,2.7
Poly(vinyl acetate),tetrahydrofuran,100 to 140,1,0.30 to 0.14
Poly(vinyl acetate),"1,2,3,4-tetrahydronaphthalene",125 to 145,1,0.83 to 0.77
Poly(vinyl acetate),"3,3,4,4-tetramethylhexane",125 to 145,1,1.72 to 1.56
Poly(vinyl acetate),toluene,80 to 140,1,0.56 to 0.40
Poly(vinyl acetate),"1,1,1,-trichloroethane",100,1,0.49
Poly(vinyl acetate),trichloroethylene,100,1,0.4
Poly(vinyl acetate),"1,2,3-trichloropropane",15 to 50,0,0.38
Poly(vinyl acetate),"2,2,4-trimethylpentane",100 to 120,1,2.17 to 1.86
Poly(vinyl acetate),n-undecane,100 to 145,1,2.7 to 2.14
Poly(vinyl acetate),vinyl acetate,30,0.4 to 0.8,0.41 to 0.22
Poly(vinyl acetate),water,40,1,2.5
Poly(vinyl alcohol),water,30,0,0.494
Poly(vinyl chloride),acetaldehyde,125 to 140,1,0.76 to 0.69
Poly(vinyl chloride),acetone,120 to 140,1,0.77 to 0.53
Poly(vinyl chloride),acetonitrile,125 to 140,1,0.98 to 0.92
Poly(vinyl chloride),benzene,120,1,0.75
Poly(vinyl chloride),benzene,125 to 140,1,0.41 to 0.37
Poly(vinyl chloride),2-butanone,0 to 50,0,0.402 to 0.413
Poly(vinyl chloride),2-butanone,120 to 140,1,0.72 to 0.46
Poly(vinyl chloride),carbon tetrachloride,120,1,1.14
Poly(vinyl chloride),chloroform,120,1,0.91
Poly(vinyl chloride),cyclohexane,125 to 140,1,1.21 to 1.09
Poly(vinyl chloride),cyclohexanone,30 to 69,0,0.240 to 0.264
Poly(vinyl chloride),"1,2-dichloroethane",125 to 140,1,0.55 to 0.49
Poly(vinyl chloride),dichloromethane,120,1,1.63
Poly(vinyl chloride),"1,4-dioxane",14 to 77,0,0.518 to 0.454
Poly(vinyl chloride),"1,4-dioxane",125 to 140,1,0.18 to 0.13
Poly(vinyl chloride),ethyl acetate,120,1,0.94
Poly(vinyl chloride),n-heptane,120,1,2
Poly(vinyl chloride),n-heptane,125 to 140,1,1.64 to 1.54
Poly(vinyl chloride),n-hexane,120,1,2.1
Poly(vinyl chloride),methanol,125 to 140,1,1.42 to 1.24
Poly(vinyl chloride),nitroethane,125 to 140,1,0.69 to 0.61
Poly(vinyl chloride),n-pentane,120,1,1.7
Poly(vinyl chloride),2-propanol,125 to 140,1,1.10 to 0.97
Poly(vinyl chloride),tetrahydrofuran,125 to 140,1,0.43 to 0.34
Poly(vinyl chloride),toluene,125 to 140,1,0.45 to 0.41
Poly(vinyl methyl ether),acetone,40,1,0.75
Poly(vinyl methyl ether),benzene,40,1,0.15
Poly(vinyl methyl ether),2-butanone,40,1,0.5
Poly(vinyl methyl ether),carbon tetrachloride,40,1,0.06
Poly(vinyl methyl ether),chloroform,40,1,-0.92
Poly(vinyl methyl ether),cyclohexane,40,1,1.16
Poly(vinyl methyl ether),cyclopentane,40,1,1.14
Poly(vinyl methyl ether),dichloromethane,40,1,-0.39
Poly(vinyl methyl ether),"1,4-dioxane",40,1,0.2
Poly(vinyl methyl ether),ethylbenzene,25,0.06 to 0.16,0.29 to 0.27
Poly(vinyl methyl ether),fluorobenzene,40,1,0
Poly(vinyl methyl ether),n-heptane,40,1,1.15
Poly(vinyl methyl ether),n-hexane,40,1,1.16
Poly(vinyl methyl ether),isopropyl ether,40,1,0.76
Poly(vinyl methyl ether),n-octane,40,1,1.16
Poly(vinyl methyl ether),2-propanol,40,1,0.9
Poly(vinyl methyl ether),propyl acetate,40,1,0.25
Poly(vinyl methyl ether),tetrachloroethylene,40,1,0.34
Poly(vinyl methyl ether),toluene,40,1,0.14
Poly(vinyl methyl ether),toluene,25,0.06 to 0.15,0.28 to 0.26
Poly(vinyl methyl ether),trichloroethylene,40,1,-0.26
Poly(N-vinyl pyrrolidone),water,25,0.06,0.48
